"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Olbrachcice 8","NA","Hamburgian","Ham_PL",1,16.37515918,51.77589052,"15500-14000 calBP","Lod-111 12680±230BP-charcoal;","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1950-1980","Burdukiewicz 1980","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Poland","PL","NA","Olbrachcice8",3,2
"Rydno ""Sahara Cypel""","cut I-1988","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","RydnocutI88",4,2
"Rydno ""Sahara Cypel""","cut I-1990","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","RydnocutI90",4,2
"Rydno ""Sahara Cypel""","cut II-1989","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Poland","PL","NA","RydnocutII89,RydnocutI89",4,2
"Rydno ""Sahara Cypel""","cut III-1990 concentration N","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Poland","PL","NA","RydnocutIII90N",4,2
"Rydno ""Sahara Cypel""","cut III-1990 concentration S","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","NA","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Poland","PL","NA","RydnocutIII90S",4,2
"Rydno","cut II-1990","Kamienna variant","Kam_PL",2,20.94926388,51.1154089,"14000-13600 calBP?","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","NA","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","RydnocutII90",4,2
"Calowanie","level III cut VII","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIIICutVII",4,2
"Calowanie","level III cut X","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIIICutX",4,2
"Calowanie","level III cut XII","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIIICutXII",4,2
"Calowanie","level III cut XIII","Witowian","Wito_PL",2,21.34038387,52.01297944,"13600-13100 cal BP","GrN-5967 11380 95  Conv. 14C charcoal, species unidentified; Gd-4165 11470 200  Conv. 14C charcoal, species unidentified","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIIICutXIII",4,2
"Lubrza 42","NA","Witowian","Wito_PL",2,15.45686694,52.31635442,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Kabaciński and Sobkowiak-Tabaka 2010","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Lubrza42",5,1
"Nowa Biała 1","NA","Witowian","Wito_PL",2,20.12488947,49.42907421,"13600-13100 cal BP","Poz-53553 11270±60 AMS charcoal from hearth","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Valde-Nowak and Kraszewska 2014","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","NowaBiala1",5,1
"Rotnowo 18","cut I-1997-lower level","Witowian","Wito_PL",2,15.30020125,53.88613193,"13600-13100 cal BP","Poz-8308 11100±70, Poz-8310 11090±80 burnt bones from the hut","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Galiński 2007","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Rotnowo18ll",5,1
"Rydno ""Sahara""","cut I-1976","Witowian","Wito_PL",2,20.94926388,51.1154089,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Poland","PL","NA","RydnoSaharacutI1976",4,2
"Rydno ""Sahara""","cut II-1976","Witowian","Wito_PL",2,20.94926388,51.1154089,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Schild et al. 2011","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Poland","PL","NA","RydnoSaharacutII1976",4,2
"Sromowce Niżne 1","NA","Witowian","Wito_PL",2,20.40763154,49.40255084,"13600-13100 cal BP","typology","Reliable","Openair","Surface","Secondary/relocated","Homogeneous","No","1950-1980","Valde-Nowak and Kraszewska 2014","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Poland","PL","NA","SromowceNizne1",2,3
"Calowanie","level IVb cut VII","Witowian","Wito_PL",2,21.34038386,52.01297943,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIVcutVII",4,2
"Calowanie","level IVb cut IX West","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIVcutIXW",4,2
"Calowanie","level IVb cut IX East","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Poland","PL","NA","CalowanielevelIVcutIXE",4,2
"Calowanie","level IVb cut XI North","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","NA",4,2
"Calowanie","level IVb cut XI Center","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIVcutXIC",4,2
"Calowanie","level IVb cut XI East","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelIVcutXIE",4,2
"Calowanie","trench 19","Witowian","Wito_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","Gd-2723 10900±130 charcoal from the hydromorphic soil","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","NA",4,2
"Witow","level 5b assemblage 1","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","Gro-828 10815±160 charcoal","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Poland","PL","NA","Witow5Cassemblage1",4,2
"Witow","level 5b assemblage 2","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","x","NA","Poland","PL","NA","Witow5Cassemblage2",4,2
"Witow","level 5b assemblage 3","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","Witow5Cassemblage3",4,2
"Witow","level 5b assemblage 4","Witowian","Wito_PL",3,19.51750195,52.01168707,"13100-12600 cal BP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Chmielewska 1978","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Poland","PL","NA","Witow5Cassemblage4",4,2
"Jaglisko 1","NA","Brommean","Brom_PL",3,15.69342652,53.02040886,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Bagniewski 1997","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Poland","PL","NA","Jaglisko1",3,2
"Jaglisko 3","NA","Brommean","Brom_PL",3,15.69342652,53.02040886,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Bagniewski 1997","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Poland","PL","NA","Jaglisko3",4,2
"Jaglisko 3a","NA","Brommean","Brom_PL",3,15.69342652,53.02040886,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Bagniewski 1997","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","Jaglisko3a",4,2
"Legi 10","NA","Brommean","Brom_PL",3,14.37603559,53.52254781,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Galiński 2006","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Legi10",3,2
"Rotnowo 18","cut I-1997-upper level","Brommean","Brom_PL",3,15.30020125,53.88613193,"13100-12600 cal BP","Poz-Poz-8309 10820±80 burnt bones","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Galiński 2007","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Poland","PL","NA","Rotnowo18",5,1
"Rydno ""Pastwisko""","cut IV-1960","Brommean","Brom_PL",3,20.94926388,51.1154089,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","RydnoPastwiskocutIV1960",3,2
"Rydno ""Pastwisko""","cut XI-1961","Brommean","Brom_PL",3,20.94926388,51.1154089,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","RydnoPastwiskocutXI1961",3,2
"Szczecin-Bukowo 1","NA","Brommean","Brom_PL",3,14.55695654,53.49463403,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Galiński 1997","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","x","NA","Poland","PL","NA","SzczecinBukowo1",1,3
"Bohatery Lesne 2 ""Biale""","NA","Perstunian","Perst_PL",3,23.52085988,53.7964726,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Szymczak 1995","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","BohateryLesne2",3,2
"Calowanie","level IVa","Perstunian","Perst_PL",3,21.34038387,52.01297944,"13100-12600 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielayerIVaCutXIII",4,2
"Wolkusz 5 ""W sadzie""","NA","Perstunian","Perst_PL",3,23.51948461,53.80865003,"13100-12600 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Szymczak 1992","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","Wolkusz5wsadzie",4,2
"Burdeniszki 1 d-e","NA","Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Burdeniszki1de",2,3
"Burdeniszki 4","NA","Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Burdeniszki4",2,3
"Burdeniszki 4a","NA","Wołkuszian","Wolk_PL",3,23.12897814,54.07712989,"12900-12600 calBP","typology","Reliable","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Szymczak 1995","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Burdeniszki4a",2,3
"Calowanie level V","cut IX","Wołkuszian","Wolk_PL",4,23.12897815,54.0771299,"12900-12600 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","CalowanielayerVCutIX",4,2
"Calowanie level V","cut XI","Wołkuszian","Wolk_PL",3,21.34038387,52.01297944,"12900-12600 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1981","Schild et al. 2014","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Poland","PL","NA","CalowanielayerVCutXI",4,2
"Rydno ""Pastwisko""","cut VII-1960","Wołkuszian","Wolk_PL",3,20.94926388,51.1154089,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","RydnoPastwiskocutVII1960",3,2
"Rydno ""Sahara""","cut V-1977","Wołkuszian","Wolk_PL",3,20.94926388,51.1154089,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","RydnoSaharacutV1977",3,2
"Wolkusz 3","NA","Wołkuszian","Wolk_PL",3,23.51948461,53.80865003,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Szymczak 1995","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","Wolkusz3",3,2
"Wolkusz 5 ""Skupisko z lisciakiem""","NA","Wołkuszian","Wolk_PL",3,23.51948461,53.80865003,"12900-12600 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Szymczak 1992","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Poland","PL","NA","Wolkusz5SzL",3,2
"Bolkow 1","NA","Epi-Ahrensburgian","EpiAhr_PL",4,14.35293003,53.55252203,"11300-10500 calBP","Mkl-3390 9620±70, Mkl-3351 9680±50","Reliable","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Galiński 2018","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Poland","PL","NA","Bolkow1",4,2
"Całowanie","level VI cut V","Epi-Ahrensburgian","EpiAhr_PL",4,21.34038387,52.01297944,"11300-10500 calBP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelVIcutV",4,2
"Kocierz 3","assemblage 1","Epi-Ahrensburgian","EpiAhr_PL",4,15.27559641,53.84055827,"11300-10500 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","NA","Galinski 1999","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","Kocierz3assemblage1",3,2
"Kocierz 3","assemblage 2","Epi-Ahrensburgian","EpiAhr_PL",4,15.27559641,53.84055827,"11300-10500 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","NA","Galinski 1999","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Poland","PL","NA","Kocierz3assemblage2",3,2
"Krakow-Biezanow 20","assemblage 1","Swiderian","Swid_PL",4,20.05143359,50.00658158,"12400-11300 cal BP","Poz-102094 9770±50 BP","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Stefański 2017","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","KrakowBiezanow20assemblage1",5,1
"Kraków-Bieżanów 15","assemblage 1","Swiderian","Swid_PL",4,20.05143359,50.00658158,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Stefański 2017","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","KrakowBiezanow15assemblage1",5,1
"Calowanie","level VI cut I","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelVIcutI",4,2
"Calowanie","level VI cut III West","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelVIcutIIIW",4,2
"Calowanie","level VI cut III Center","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","x","Poland","PL","NA","CalowanielevelVIcutIIIC",4,2
"Calowanie","level VI cut III East","Swiderian","Swid_PL",4,21.34038387,52.01297944,"12400-11300 cal BP","typology; stratigraphy","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","CalowanielevelVIcutIIIE",4,2
"Lykowe 1","NA","Swiderian","Swid_PL",4,18.76114934,51.20069038,"12400-11300 cal BP","typology","Reliable","Openair","Surface","NA","NA","No","NA","Cyrek 1996","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","Lykowe1",1,3
"Rydno ""Michalow-Piaska""","cut I-1996","Swiderian","Swid_PL",4,20.94926388,51.1154089,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","RydnoMichPiascutI1996",3,2
"Rydno ""Pastwisko""","cut IV-1957","Swiderian","Swid_PL",4,20.94926388,51.1154089,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Poland","PL","NA","RydnoPastwiskocutIV1957",3,2
"Rydno ""Sandro""","cut I-1957","Swiderian","Swid_PL",4,20.94926388,51.1154089,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","RydnoSandrocutI1957",3,2
"Cichmiana 2","assemblage 1","Swiderian-Ahrensburgian","SwidAhr_PL",4,18.7940049909,52.087738361,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Kabaciński and Sobkowiak-Tabaka 2009","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","Cichmiana2",5,1
"Kochlew 1","NA","Swiderian-Ahrensburgian","SwidAhr_PL",4,18.78315089,51.20428414,"12400-11300 cal BP","Lod-143 10260 ±210.charcoals from geological layer; Lod-142 10380 ±220 charcoal from layers with Palaeolithic artefacts","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Cyrek 1996","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Poland","PL","NA","Kochlew1",3,2
"Przeginia Narodowa 1","NA","Swiderian-Ahrensburgian","SwidAhr_PL",4,19.64823677,50.00930445,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Unpublished","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","PrzeginiaNarodowa1",4,2
"Szczebra 14","NA","Swiderian-Ahrensburgian","SwidAhr_PL",4,22.9762338331,53.9036126148,"12400-11300 cal BP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Siemaszko 2000","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Szczerba14",4,2
"Wojnowo A","cut I-1975","Swiderian-Ahrensburgian","SwidAhr_PL",4,15.78867954,52.1066325,"12400-11300 cal BP","Wojnowo a” Poz-66522 10410±50, Poz-66523 10250±50, Poz-66524 10400±50, Poz-66525 10210±50 – charcoals from gyttia","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Kobusiewicz 2016","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Poland","PL","NA","WojnowoAcutI75",3,2
"Wojnowo A","cut III-1975","Swiderian-Ahrensburgian","SwidAhr_PL",4,15.78867954,52.1066325,"12400-11300 cal BP","as above","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Kobusiewicz 2016","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Poland","PL","NA","WojnowoAcutIII5,WojnowoAcutIII75",3,2
"Krakow-Biezanow 15","assemblage 3","Płudian","Plu_PL",4,20.05143359,50.00658158,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Stefański 2017","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","KrakowBiezanow15assemblage3",4,2
"Zagacie 2","NA","Płudian","Plu_PL",4,19.704088,50.000066,"11500-10500 cal BP","Poz-94374 9490±50 BP charcoal Pinus sylvestris","Problematic","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Pawłowska 2003","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","Zagacie2",2,3
"Rydno ""U Wygonu""","cut XI-1959","Płudian","Plu_PL",4,20.94926388,51.1154089,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","RydnocytXI1959",2,3
"Rydno ""U Wygonu""","cut II-1956","Płudian","Plu_PL",4,20.94926388,51.1154089,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","RydnocutII1956",2,3
"Lubon ""Z Wydmy""","NA","Płudian","Plu_PL",4,16.8983886,52.3339493,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Kobusiewicz 1970","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","Lubon",0,3
"Pludy A","NA","Płudian","Plu_PL",4,20.98999833,52.33414972,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Krukowski 1939-1948","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","PludyA",0,3
"Swidry Wielkie II","NA","Płudian","Plu_PL",4,21.22248613,52.10089341,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Krukowski 1939-1948","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","SwidryWielkieII",0,3
"Tokary-Rabiez","NA","Płudian","Plu_PL",4,19.73176665,52.49700557,"11500-10500 cal BP","typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Kozłowski 1964","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Poland","PL","NA","TokaryRabiez",0,3
"Rascaño","Unit 2","Final Magdalenian","FMag_IBC",1,-3.7001,43.2971,"14,900-13,800P","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Gonzlaez Echegaray and Barandiarán 1981","NA","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","Cantabrian Spain","IBC","NA","Rascanolevel2",4,2
