"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Remouchamps","occupation layer cave site","Epi-Ahrensburgian","EpiAhr_BSN",3,5.71,50.48,"3 dates ranging from 10.8 to 10.3 kyr BP","14C (two AMS) on cutmarked bones","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Dewez 1974","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Belgium and Southern Netherlands","BSN","NA","Remouchamps",4,2
"Geldrop Mie Peels","single occupation layer","Epi-Ahrensburgian","EpiAhr_BSN",3,5.56,51.41,"10,610±110 BP","14C on charcoal from charcoal patch","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Deeben and Schreurs 2012","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","GeldropMiePeels",4,2
"Geldrop 3-2 Oost","single cluster","Epi-Ahrensburgian","EpiAhr_BSN",4,5.56,51.41,"9,970 ± 60","14C on calcined bone","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Deeben 1996,Crombé et al. 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","Geldrop32Oost",5,1
"Eersel-Panberg","single find layer","Epi-Ahrensburgian","EpiAhr_BSN",4,5.28,51.34,"8,810  ± 70","14C on calcined bone","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Deeben et al. 2000,Crombé et al. 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","EerselPanberg",3,2
"Zonhoven-Kapelberg","single concentration","Epi-Ahrensburgian","EpiAhr_BSN",4,5.41,50.99,"na","much younger date on charcoal of ca. 6 kyr BP","Problematic","Openair","Stratified","Secondary/relocated","Homogeneous","No","1980-2000","Huyghe 1985","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","ZonhovenMolenheide",3,2
"Hostim","NA","Magdalenian","Mag_BOMO",1,14.116111,49.954444,"16041-13480","14C","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Vencl 1995","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Bohemia and Moravia","BOMO","NA","Hostim",4,2
"Pekárna Cave","NA","Magdalenian","Mag_BOMO",1,16.746111,49.241944,"15190-14263; 15400-14878","14C","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Klíma 1974,Svoboda 1991,Svoboda et al. 2000","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Bohemia and Moravia","BOMO","NA","Pekarna",4,2
"Loštice I","NA","Magdalenian","Mag_BOMO",1,16.922777,49.728888,"na","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Neruda et al. 2009","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Bohemia and Moravia","BOMO","NA","Lostice",5,1
"Kůlna Cave","layers 5 and 6","Magdalenian","Mag_BOMO",2,16.737777,49.408333,"13538-13217; 13648-13358 (both from layer 6)","14C","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Valoch 1988,Valoch and Neruda 2005","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Bohemia and Moravia","BOMO","NA","Kulna6",4,2
"Kůlna Cave","layer 4","Epimagdalenian","EpiMag_BOMO",2,16.737777,49.408333,"13375-13120; 13560-13213","14C","Reliable","Cave","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Valoch 1988","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Bohemia and Moravia","BOMO","NA","Kulna4",3,2
"Lhota u Kestřan 1","NA","Epimagdalenian","EpiMag_BOMO",2,14.0819444,49.258333,"na","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Vencl 1970","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Bohemia and Moravia","BOMO","NA","Lhota1",0,3
"Komořany","NA","ABP Federmesser","ABPFeder_BOMO",2,13.5788,50.53421,"na","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","Before WW2","Vencl 1970","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Bohemia and Moravia","BOMO","NA","Komorany",1,3
"Šipka Cave","NA","ABP Federmesser","ABPFeder_BOMO",2,18.1206,49.58811,"na","Typology,Stratigraphy","Problematic","Cave","Stratified","Primary/insitu","Homogeneous","No","Before WW2","Valoch 1957","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Bohemia and Moravia","BOMO","NA","NA",3,2
"Tišnov","NA","ABP Tishnovian","ABPTishn_BOMO",23,16.403888,49.359444,"na","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Kos 1971","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","Bohemia and Moravia","BOMO","NA","Tisnov",3,2
"Voletiny","NA","ABP Tishnovian","ABPTishn_BOMO",23,15.9475,50.579722,"na","Typology","Problematic","Openair","Stratified","Secondary/relocated","Homogeneous","No","1950-1980","Vencl 1978","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Bohemia and Moravia","BOMO","NA","Voletiny",2,3
