"","Timeslice","TaxUnit","Region","Site","ShortImageRef","ToolClass","KnappingDirection","IMAGE","ARTEFACTNAME","SCALE","Timeslice_range_from","Timeslice_range_to","Long","Lat","length_cm","width_cm","area_cm2","perimeter_cm","calliper_cm","circularity","eccentricityeigen","AD","BC","amp","sym"
"46","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_11",0.033077,"1","1",4.95,50.22,4.37,1.05,3.38,9.46,4.37,2.31,0.1,0.459868349322552,2.14667300705425,2.6065413563768,0.176428564310903
"47","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_12",0.033077,"1","1",4.95,50.22,3.33,1.25,2.66,7.36,3.34,3.1,0.19,0.276624982140182,2.20304547134876,2.47967045348894,0.111557155407875
"48","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_13",0.033077,"1","1",4.95,50.22,4.39,2.69,7.07,11.88,4.47,3.34,0.37,0.839880420285872,2.56858711442017,3.40846753470604,0.246409980947143
"49","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_14",0.033077,"1","1",4.95,50.22,2.25,1.84,3.2,6.77,2.33,9.27,0.71,0.583412992923562,2.22409074447959,2.80750373740315,0.207804885582521
"50","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_2",0.033077,"1","1",4.95,50.22,3.78,1.65,4.82,8.97,3.79,3.61,0.28,0.448723273874393,2.19031263134554,2.63903590521993,0.170033030996976
"51","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_3",0.033077,"1","1",4.95,50.22,4.27,1.47,4.94,9.73,4.28,2.9,0.19,0.240183831251578,2.24665723956682,2.4868410708184,0.0965818982443201
"52","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_4",0.033077,"1","1",4.95,50.22,4.05,1.64,5.4,9.55,4.06,3.41,0.26,0.41095598904223,2.13853661849785,2.54949260754008,0.16119128481755
"53","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_5",0.033077,"1","1",4.95,50.22,3.22,1.45,3.42,8,3.28,3.15,0.25,0.576301538852202,2.31886170505775,2.89516324390995,0.199056664616224
"54","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_6",0.033077,"1","1",4.95,50.22,2.82,1.36,3.2,7.16,2.84,3.83,0.33,0.171860468058807,2.27766458884441,2.44952505690322,0.0701607307810437
"55","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_7",0.033077,"1","1",4.95,50.22,2.76,2.19,4.19,7.64,2.79,11,0.73,1.2883886449082,1.91597989216688,3.20436853707509,0.402072555013984
